"filename", "language", "Python", "Markdown", "Shell Script", "pip requirements", "Arduino", "comment", "blank", "total"
"/Users/bbenziger/djr3x-v2/CONTEXT.md", "Markdown", 0, 1410, 0, 0, 0, 0, 293, 1703
"/Users/bbenziger/djr3x-v2/README.md", "Markdown", 0, 2, 0, 0, 0, 0, 1, 3
"/Users/bbenziger/djr3x-v2/apikeys.example.py", "Python", 2, 0, 0, 0, 0, 2, 2, 6
"/Users/bbenziger/djr3x-v2/arduino/chest_nano/chest_nano.ino", "Arduino", 0, 0, 0, 0, 536, 112, 142, 790
"/Users/bbenziger/djr3x-v2/arduino/head_nano/head_nano.ino", "Arduino", 0, 0, 0, 0, 323, 250, 83, 656
"/Users/bbenziger/djr3x-v2/audio/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bbenziger/djr3x-v2/audio/echo_cancel.py", "Python", 27, 0, 0, 0, 0, 20, 16, 63
"/Users/bbenziger/djr3x-v2/audio/scene.py", "Python", 102, 0, 0, 0, 0, 40, 36, 178
"/Users/bbenziger/djr3x-v2/audio/speaker_id.py", "Python", 88, 0, 0, 0, 0, 10, 18, 116
"/Users/bbenziger/djr3x-v2/audio/stream.py", "Python", 69, 0, 0, 0, 0, 26, 26, 121
"/Users/bbenziger/djr3x-v2/audio/transcription.py", "Python", 77, 0, 0, 0, 0, 7, 19, 103
"/Users/bbenziger/djr3x-v2/audio/tts.py", "Python", 115, 0, 0, 0, 0, 40, 34, 189
"/Users/bbenziger/djr3x-v2/audio/vad.py", "Python", 58, 0, 0, 0, 0, 20, 19, 97
"/Users/bbenziger/djr3x-v2/audio/wake_word.py", "Python", 116, 0, 0, 0, 0, 28, 43, 187
"/Users/bbenziger/djr3x-v2/awareness/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bbenziger/djr3x-v2/awareness/chronoception.py", "Python", 122, 0, 0, 0, 0, 23, 35, 180
"/Users/bbenziger/djr3x-v2/awareness/interoception.py", "Python", 95, 0, 0, 0, 0, 31, 32, 158
"/Users/bbenziger/djr3x-v2/awareness/social.py", "Python", 62, 0, 0, 0, 0, 28, 20, 110
"/Users/bbenziger/djr3x-v2/config.py", "Python", 399, 0, 0, 0, 0, 214, 117, 730
"/Users/bbenziger/djr3x-v2/features/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bbenziger/djr3x-v2/features/dj.py", "Python", 254, 0, 0, 0, 0, 48, 53, 355
"/Users/bbenziger/djr3x-v2/features/games.py", "Python", 532, 0, 0, 0, 0, 69, 126, 727
"/Users/bbenziger/djr3x-v2/features/trivia.py", "Python", 174, 0, 0, 0, 0, 30, 51, 255
"/Users/bbenziger/djr3x-v2/hardware/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bbenziger/djr3x-v2/hardware/leds_chest.py", "Python", 50, 0, 0, 0, 0, 22, 29, 101
"/Users/bbenziger/djr3x-v2/hardware/leds_head.py", "Python", 59, 0, 0, 0, 0, 25, 33, 117
"/Users/bbenziger/djr3x-v2/hardware/servos.py", "Python", 155, 0, 0, 0, 0, 36, 51, 242
"/Users/bbenziger/djr3x-v2/intelligence/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bbenziger/djr3x-v2/intelligence/command_parser.py", "Python", 178, 0, 0, 0, 0, 52, 47, 277
"/Users/bbenziger/djr3x-v2/intelligence/consciousness.py", "Python", 358, 0, 0, 0, 0, 119, 124, 601
"/Users/bbenziger/djr3x-v2/intelligence/llm.py", "Python", 271, 0, 0, 0, 0, 34, 60, 365
"/Users/bbenziger/djr3x-v2/intelligence/personality.py", "Python", 136, 0, 0, 0, 0, 61, 49, 246
"/Users/bbenziger/djr3x-v2/memory/conversations.py", "Python", 43, 0, 0, 0, 0, 27, 24, 94
"/Users/bbenziger/djr3x-v2/memory/database.py", "Python", 90, 0, 0, 0, 0, 13, 22, 125
"/Users/bbenziger/djr3x-v2/memory/events.py", "Python", 42, 0, 0, 0, 0, 28, 17, 87
"/Users/bbenziger/djr3x-v2/memory/facts.py", "Python", 55, 0, 0, 0, 0, 15, 17, 87
"/Users/bbenziger/djr3x-v2/memory/people.py", "Python", 140, 0, 0, 0, 0, 79, 52, 271
"/Users/bbenziger/djr3x-v2/memory/relationships.py", "Python", 52, 0, 0, 0, 0, 14, 17, 83
"/Users/bbenziger/djr3x-v2/requirements.txt", "pip requirements", 0, 0, 0, 23, 0, 19, 16, 58
"/Users/bbenziger/djr3x-v2/setup_assets.py", "Python", 333, 0, 0, 0, 0, 34, 58, 425
"/Users/bbenziger/djr3x-v2/setup_macos.sh", "Shell Script", 0, 0, 227, 0, 0, 24, 31, 282
"/Users/bbenziger/djr3x-v2/state.py", "Python", 26, 0, 0, 0, 0, 0, 12, 38
"/Users/bbenziger/djr3x-v2/utils/config_loader.py", "Python", 65, 0, 0, 0, 0, 16, 21, 102
"/Users/bbenziger/djr3x-v2/utils/logging.py", "Python", 29, 0, 0, 0, 0, 10, 11, 50
"/Users/bbenziger/djr3x-v2/vision/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bbenziger/djr3x-v2/vision/camera.py", "Python", 109, 0, 0, 0, 0, 25, 31, 165
"/Users/bbenziger/djr3x-v2/vision/face.py", "Python", 208, 0, 0, 0, 0, 51, 54, 313
"/Users/bbenziger/djr3x-v2/vision/pose.py", "Python", 277, 0, 0, 0, 0, 154, 79, 510
"/Users/bbenziger/djr3x-v2/vision/proxemics.py", "Python", 32, 0, 0, 0, 0, 53, 15, 100
"/Users/bbenziger/djr3x-v2/vision/scene.py", "Python", 268, 0, 0, 0, 0, 96, 73, 437
"/Users/bbenziger/djr3x-v2/world_state.py", "Python", 77, 0, 0, 0, 0, 0, 10, 87
"Total", "-", 5345, 1412, 227, 23, 859, 2005, 2125, 11996
