file,mono_lufs_before,mono_lufs_after,stereo_true_peak_db_before,stereo_true_peak_db_after,gain_db,limiter_ceiling_db,sha256_after
"Alert_ping,_two-tone.mp3",-38.90,-20.14,-12.54,-2.78,21.085,-3.0,41ea7905ff93e0fb81b1750f0af31d5e3eb952f11e715df85a152286806445b0
Attention-getting_polite.mp3,-29.19,-19.99,-20.48,-11.30,9.19,-3.0,d0ad50e3ad51663226c787ce3024cba33a0b3ebe4ac03ace35b8359648c2d38f
Confirmation_blip.mp3,-18.45,-19.97,-2.93,-4.35,-1.55,-3.0,2013fc4986e8bdc11b50e208d2f2689f405b7a10f99f623cc9970a3be137311d
Droid_Affectionate.mp3,-19.15,-19.98,-3.87,-4.72,-0.85,-3.0,d49aa55ec9581995c5ec460142e7e5cc707851268b267030e111724be1a93070
Droid_Annoyedgrumpy.mp3,-13.94,-20.01,-0.22,-6.25,-6.06,-3.0,6762d9f61970e692bfbfd854638bf286a5e39aa62e9ce778db9306d7d91de24f
Droid_Confused_wobbly.mp3,-16.05,-20.00,-0.31,-4.12,-3.95,-3.0,f10e9471c2a9d4ef98db4bcc793983297024e90eed40093a6fc3546dd5de53d9
Droid_Curious.mp3,-18.43,-20.10,-0.57,-2.95,-1.57,-3.0,056803c471c0e6d4c901d95a5a0e5c9c68a681585c8f904f91af2c8a8470c99b
Droid_Disappointed.mp3,-19.22,-20.00,-4.12,-4.89,-0.78,-3.0,203b37e479d523b418cd72c5345c852e6ff69755d7bfb20540a7162b1f8a683d
Droid_Embarrassed.mp3,-16.71,-20.01,-1.49,-4.77,-3.29,-3.0,42997501a37932a82173db22679da1e38ff7a54561fad027304424e4b0c9abb4
Droid_Goodbye_gentle.mp3,-14.61,-19.98,-4.88,-10.28,-5.39,-3.0,2bc682445951572b1a724bb186ebe5b3307dc2eb5b4a5d240b0eaf98ee53b7b6
Droid_Greeting_whiste.mp3,-12.70,-19.99,0.35,-6.99,-7.3,-3.0,179d4752a7ae9130921a240e5c43c06578909bc89de1ff28690401cde6237047
Droid_Happy_bouncy.mp3,-17.55,-19.98,-2.00,-4.47,-2.45,-3.0,5c64c26a870ff1576eb6953a8f743ec38a697f5d4fb407f94d2f4b21119b9e21
Droid_Laughing_rapid_1.mp3,-22.03,-20.01,-6.95,-5.05,2.03,-3.0,e77a46f2959e176162d75dbc9a65fa8bd252d1636bbbb2a4e8a6c17e544b1a37
Droid_Laughing_rapid_2.mp3,-19.79,-19.98,-6.31,-6.49,-0.21,-3.0,10453ba99af5ecdc954391e848ba4fe803abe81d57757af5feed9779f004486a
Droid_Mischievous.mp3,-18.71,-19.95,-3.12,-4.46,-1.29,-3.0,b0463d87cd79c300bfa567d9eeaf885225678a53853f7b3963be95a82e1873eb
Droid_Proudtriumphant.mp3,-15.14,-19.98,0.38,-4.35,-4.86,-3.0,e7f8e4ff3038e8d70b76251b8d4ba38bdaea0b6d0ed615fc1a45b45b4ecfa0e4
Droid_Sad_slow_descent.mp3,-17.04,-19.96,-0.27,-3.27,-2.96,-3.0,d9203454220b92546b3c94834d21856dd367dd7dbf2d02ab7427812759a2244d
Droid_Sassy_smug.mp3,-12.02,-19.98,-0.10,-8.04,-7.98,-3.0,110ca753c7bdac1406c56bfa4801def75056d58c7e38b0176c23cc21191a9195
Droid_Scared_startled.mp3,-11.58,-20.00,1.19,-7.22,-8.42,-3.0,4a7ef7b1edd496332c15fce925fb86059f39a4d72b98e27771ff2d4c452322b0
Droid_Surprised.mp3,-11.77,-20.06,-0.19,-8.36,-8.23,-3.0,96aeb9a9b4bb9d7925f693ef8a1f50a0f448ce021a422515eb7737800c09e273
